card_set_id,card_name,set_name,rarity,market_price,date_scraped
EB01-001,Kouzuki Oden (SPR),Extra Booster: Anime 25th Collection,L,0.23,2026-04-14
EB01-001,Kouzuki Oden (SPR),Extra Booster: Anime 25th Collection,L,47.7,2026-04-14
EB01-002,Izo,Extra Booster: Memorial Collection,R,1.44,2026-04-14
EB01-003,Kid & Killer,Extra Booster: Memorial Collection,R,3.54,2026-04-14
EB01-003,Kid & Killer,Extra Booster: Memorial Collection,R,17.57,2026-04-14
EB01-003,Kid & Killer,Extra Booster: Memorial Collection,R,91.42,2026-04-14
EB01-004,Koza,Extra Booster: Memorial Collection,C,0.08,2026-04-14
EB01-006,Tony Tony.Chopper,Extra Booster: Memorial Collection,SR,20.88,2026-04-14
EB01-006,Tony Tony.Chopper,Extra Booster: Memorial Collection,SR,60.19,2026-04-14
EB01-007,Yamato,Extra Booster: Memorial Collection,C,0.16,2026-04-14
EB01-008,LittleOars Jr.,Extra Booster: Memorial Collection,R,0.15,2026-04-14
EB01-009,Just Shut Up and Come with Us!!!!,Extra Booster: Memorial Collection,C,0.11,2026-04-14
EB01-009,Just Shut Up and Come with Us!!!!,Extra Booster: Memorial Collection,C,0.16,2026-04-14
EB01-009,Just Shut Up and Come with Us!!!!,Extra Booster: Memorial Collection,C,0.08,2026-04-14
EB01-010,There's No Way You Could Defeat Me!!,Extra Booster: Memorial Collection,R,0.24,2026-04-14
EB01-011,Mini-Merry,Extra Booster: Memorial Collection,C,0.07,2026-04-14
EB01-012,Cavendish,Extra Booster: Memorial Collection,SR,4.03,2026-04-14
EB01-012,Cavendish,Extra Booster: Memorial Collection,SR,35.01,2026-04-14
EB01-012,Cavendish,Extra Booster: Memorial Collection,SR,1.36,2026-04-14
EB01-013,Kouzuki Hiyori,Extra Booster: Memorial Collection,R,3.63,2026-04-14
EB01-013,Kouzuki Hiyori,Extra Booster: Memorial Collection,R,18.27,2026-04-14
EB01-014,Sanji,Extra Booster: Memorial Collection,R,0.85,2026-04-14
EB01-015,Scratchmen Apoo,Extra Booster: Memorial Collection,R,1.55,2026-04-14
EB01-015,Scratchmen Apoo,Extra Booster: Memorial Collection,R,12.23,2026-04-14
EB01-015,Scratchmen Apoo,Extra Booster: Memorial Collection,R,0.33,2026-04-14
EB01-016,Bingoh,Extra Booster: Memorial Collection,C,0.04,2026-04-14
EB01-017,Blueno (017),Extra Booster: Memorial Collection,C,0.08,2026-04-14
EB01-018,Mountain God,Extra Booster: Memorial Collection,C,0.1,2026-04-14
EB01-018,Mountain God,Extra Booster: Memorial Collection,C,0.03,2026-04-14
EB01-019,Off-White,Extra Booster: Memorial Collection,R,0.4,2026-04-14
EB01-020,Chambres,Extra Booster: Memorial Collection,C,0.1,2026-04-14
EB01-021,Hannyabal (SPR),Extra Booster: Anime 25th Collection,L,0.2,2026-04-14
EB01-021,Hannyabal (SPR),Extra Booster: Anime 25th Collection,L,17.13,2026-04-14
EB01-022,Inazuma,Extra Booster: Memorial Collection,SR,3.96,2026-04-14
EB01-022,Inazuma,Extra Booster: Memorial Collection,SR,14.89,2026-04-14
EB01-023,Edward Weevil,Extra Booster: Memorial Collection,R,6.29,2026-04-14
EB01-023,Edward Weevil,Extra Booster: Memorial Collection,R,60.34,2026-04-14
EB01-025,Fourtricks,Extra Booster: Memorial Collection,C,0.04,2026-04-14
EB01-026,Prince Bellett,Extra Booster: Memorial Collection,C,0.06,2026-04-14
EB01-027,Mr. 1 (Daz.Bonez),Extra Booster: Memorial Collection,R,0.44,2026-04-14
EB01-027,Mr. 1 (Daz.Bonez),Extra Booster: Memorial Collection,R,2.73,2026-04-14
EB01-028,Gum-Gum Champion Rifle,Extra Booster: Memorial Collection,R,2.93,2026-04-14
EB01-029,Sorry. I'm a Goner.,Extra Booster: Memorial Collection,C,0.1,2026-04-14
EB01-030,Loguetown,Extra Booster: Memorial Collection,C,0.08,2026-04-14
EB01-031,Kalifa,Extra Booster: Memorial Collection,R,0.2,2026-04-14
EB01-031,Kalifa,Extra Booster: Memorial Collection,R,4.88,2026-04-14
EB01-033,Blueno (033),Extra Booster: Memorial Collection,R,0.2,2026-04-14
EB01-034,Ms. Wednesday,Extra Booster: Memorial Collection,SR,2.55,2026-04-14
EB01-034,Ms. Wednesday,Extra Booster: Memorial Collection,SR,13.34,2026-04-14
EB01-035,Ms. Monday,Extra Booster: Memorial Collection,C,0.08,2026-04-14
EB01-036,Minochihuahua,Extra Booster: Memorial Collection,C,0.07,2026-04-14
EB01-037,Mr. 9,Extra Booster: Memorial Collection,C,0.07,2026-04-14
EB01-038,Oh Come My Way,Extra Booster: Memorial Collection,C,0.07,2026-04-14
EB01-038,Oh Come My Way,Extra Booster: Memorial Collection,C,0.21,2026-04-14
EB01-038,Oh Come My Way,Extra Booster: Memorial Collection,C,0.07,2026-04-14
EB01-039,Conquerer of Three Worlds Ragnaraku,Extra Booster: Memorial Collection,R,0.64,2026-04-14
EB01-040,Kyros (SPR),Extra Booster: Anime 25th Collection,L,0.2,2026-04-14
EB01-040,Kyros (SPR),Extra Booster: Anime 25th Collection,L,25.34,2026-04-14
