date,set_id,set_name,product,price_usd,msrp,set_type
2023-12-01,OP01,Romance Dawn,Booster Box,560.02,72.0,main
2023-12-01,OP02,Paramount War,Booster Box,126.86,72.0,main
2023-12-01,OP03,Pillars of Strength,Booster Box,70.7,100.0,main
2023-12-01,OP04,Kingdoms of Intrigue,Booster Box,158.36,100.0,main
2023-12-01,OP05,Awakening of the New Era,Booster Box,271.96,100.0,main
2024-01-01,OP01,Romance Dawn,Booster Box,560.02,72.0,main
2024-01-01,OP02,Paramount War,Booster Box,129.4,72.0,main
2024-01-01,OP03,Pillars of Strength,Booster Box,70.0,100.0,main
2024-01-01,OP04,Kingdoms of Intrigue,Booster Box,155.25,100.0,main
2024-01-01,OP05,Awakening of the New Era,Booster Box,277.4,100.0,main
2024-02-01,OP01,Romance Dawn,Blue Bottom Booster Box,1083.54,72.0,main
2024-02-01,OP01,Romance Dawn,Booster Box,471.64,72.0,main
2024-02-01,OP02,Paramount War,Booster Box,124.84,72.0,main
2024-02-01,OP03,Pillars of Strength,Booster Box,215.0,100.0,main
2024-02-01,OP04,Kingdoms of Intrigue,Booster Box,154.01,100.0,main
2024-02-01,OP05,Awakening of the New Era,Booster Box,259.6,100.0,main
2024-03-01,OP01,Romance Dawn,Blue Bottom Booster Box,1025.0,72.0,main
2024-03-01,OP01,Romance Dawn,Booster Box,464.7,72.0,main
2024-03-01,OP02,Paramount War,Booster Box,134.31,72.0,main
2024-03-01,OP03,Pillars of Strength,Booster Box,219.31,100.0,main
2024-03-01,OP04,Kingdoms of Intrigue,Booster Box,170.0,100.0,main
2024-03-01,OP05,Awakening of the New Era,Booster Box,278.61,100.0,main
2024-04-01,OP01,Romance Dawn,Blue Bottom Booster Box,1126.49,72.0,main
2024-04-01,OP01,Romance Dawn,Booster Box,475.0,72.0,main
2024-04-01,OP02,Paramount War,Booster Box,265.72,72.0,main
2024-04-01,OP03,Pillars of Strength,Booster Box,196.53,100.0,main
2024-04-01,OP04,Kingdoms of Intrigue,Booster Box,186.37,100.0,main
2024-04-01,OP05,Awakening of the New Era,Booster Box,246.12,100.0,main
2024-04-01,OP06,Wings of the Captain,Booster Box,168.58,100.0,main
2024-05-01,EB01,Extra Booster Memorial Collection,Sealed Booster Box,122.0,70.0,extra
2024-05-01,OP01,Romance Dawn,Blue Bottom Booster Box,1062.39,72.0,main
2024-05-01,OP01,Romance Dawn,Booster Box,204.02,72.0,main
2024-05-01,OP02,Paramount War,Booster Box,260.47,72.0,main
2024-05-01,OP03,Pillars of Strength,Booster Box,227.4,100.0,main
2024-05-01,OP04,Kingdoms of Intrigue,Booster Box,166.36,100.0,main
2024-05-01,OP05,Awakening of the New Era,Booster Box,151.5,100.0,main
2024-05-01,OP06,Wings of the Captain,Booster Box,147.04,100.0,main
2024-06-01,EB01,Extra Booster Memorial Collection,Sealed Booster Box,126.67,70.0,extra
2024-06-01,OP01,Romance Dawn,Blue Bottom Booster Box,991.91,72.0,main
2024-06-01,OP01,Romance Dawn,Booster Box,216.27,72.0,main
2024-06-01,OP02,Paramount War,Booster Box,233.13,72.0,main
2024-06-01,OP03,Pillars of Strength,Booster Box,223.52,100.0,main
2024-06-01,OP04,Kingdoms of Intrigue,Booster Box,179.46,100.0,main
