product_id,product_name,set_name,set_code,set_release_date,snapshot_date,market_price,low_price,high_price,days_since_release
450086,Romance Dawn - Booster Box (Wave 1 - Blue),Romance Dawn,OP01,2022-12-02T00:00:00,2026-05-04,5831.75,5984.92,25000.0,1249.0
557280,Romance Dawn - Booster Box (Wave 2 - White),Romance Dawn,OP01,2022-12-02T00:00:00,2026-05-04,1827.54,1649.99,9999.99,1249.0
498734,Awakening of the New Era - Booster Box,Awakening of the New Era,OP05,2023-12-08T00:00:00,2026-05-04,975.51,999.95,10000.0,878.0
521161,Memorial Collection - Booster Box,Extra Booster: Memorial Collection,EB-01,2024-05-03T00:00:00,2026-05-04,840.81,799.0,2899.99,731.0
545399,Premium Booster - Booster Box,Premium Booster -The Best-,PRB-01,2024-11-08T00:00:00,2026-05-04,840.68,859.99,2000.0,542.0
563834,Emperors in the New World - Booster Box,Emperors in the New World,OP09,2024-12-13T00:00:00,2026-05-04,587.8,578.88,1050.0,507.0
628352,Carrying On His Will Booster Box,Carrying On His Will,OP13,2025-11-07T00:00:00,2026-05-04,585.54,583.97,5000.0,178.0
477176,Pillars of Strength - Booster Box,Pillars of Strength,OP03,2023-06-30T00:00:00,2026-05-04,541.88,507.01,4999.98,1039.0
485833,Kingdoms of Intrigue - Booster Box,Kingdoms of Intrigue,OP04,2023-09-22T00:00:00,2026-05-04,523.57,490.01,1000.0,955.0
455866,Paramount War - Booster Box,Paramount War,OP02,2023-03-10T00:00:00,2026-05-04,496.21,489.0,2550.0,1151.0
620180,A Fist of Divine Speed Booster Box,A Fist of Divine Speed,OP11,2025-06-06T00:00:00,2026-05-04,408.13,404.95,777.77,332.0
515080,Wings of the Captain - Booster Box,Wings of the Captain,OP06,2024-03-15T00:00:00,2026-05-04,355.01,354.98,500.0,780.0
628452,Premium Booster Vol. 2 - Booster Box,Premium Booster -The Best- Vol. 2,PRB-02,2025-10-03T00:00:00,2026-05-04,332.29,333.99,1514.98,213.0
532106,500 Years in the Future - Booster Box,500 Years in the Future,OP07,2024-06-28T00:00:00,2026-05-04,294.3,292.99,500.0,675.0
689336,The Time of Battle Booster Box,The Time of Battle,OP16,2026-06-12T00:00:00,2026-05-04,276.73,275.0,357.66,-39.0
628346,Legacy of the Master Booster Box,Legacy of the Master,OP12,2025-08-22T00:00:00,2026-05-04,251.94,239.0,499.99,255.0
665598,The Azure Sea's Seven Booster Box,The Azure Sea's Seven,OP14,2026-01-16T00:00:00,2026-05-04,238.3,248.88,600.0,108.0
542504,Two Legends - Booster Box,Two Legends,OP08,2024-09-13T00:00:00,2026-05-04,222.33,221.8,1000.0,598.0
586671,Royal Blood Booster Box,Royal Blood,OP10,2025-03-21T00:00:00,2026-05-04,220.56,219.95,499.99,409.0
682057,Adventure on Kami's Island Booster Box,Adventure on Kami's Island,OP15-EB04,2026-04-03T00:00:00,2026-05-04,202.54,198.52,400.0,31.0
