set_code,product_type,product_count,avg_market_price,min_market_price,max_market_price
EB-01,Booster Box Case,1,6066.53,6066.53,6066.53
EB-01,Booster Box,1,840.81,840.81,840.81
EB-01,Booster Pack,1,24.23,24.23,24.23
EB-01,Tin,1,0.08,0.08,0.08
EB-02,Other Sealed,1,4914.45,4914.45,4914.45
EB-03,Other Sealed,1,3848.91,3848.91,3848.91
EB-03,Booster Pack,1,12.94,12.94,12.94
EB-03,Tin,1,0.06,0.06,0.06
LT-01,Display,1,155.26,155.26,155.26
OP-CS,Bundle,5,931.32,185.48,1860.56
OP-PR,Display,6,998.16,289.28,2013.59
OP-PR,Other Sealed,2,454.3,452.01,456.59
OP-PR,Gift Set,15,53.95,3.63,232.07
OP-PR,Tin,14,26.2,1.18,108.28
OP-PR,Starter Deck,9,9.86,0.42,80.24
OP-PR,Ultra Deck,2,3.13,2.15,4.1
OP01,Booster Box Case,1,11828.99,11828.99,11828.99
OP01,Booster Box,2,3829.64,1827.54,5831.75
OP01,Booster Pack,2,126.88,75.78,177.97
OP02,Booster Box Case,1,3564.1,3564.1,3564.1
OP02,Booster Box,1,496.21,496.21,496.21
OP02,Booster Pack,2,29.12,22.89,35.35
OP03,Booster Box Case,1,3899.99,3899.99,3899.99
OP03,Booster Box,1,541.88,541.88,541.88
OP03,Booster Pack,2,32.72,21.24,44.2
OP04,Booster Box Case,1,6406.33,6406.33,6406.33
OP04,Booster Box,1,523.57,523.57,523.57
OP04,Display,1,312.5,312.5,312.5
OP04,Other Sealed,1,71.73,71.73,71.73
OP04,Booster Pack,2,31.28,14.46,48.1
OP04,Tin,2,0.13,0.09,0.17
OP04 PRE,Tin,1,1.22,1.22,1.22
OP05,Booster Box Case,1,8632.22,8632.22,8632.22
OP05,Booster Box,1,975.51,975.51,975.51
OP05,Display,1,915.53,915.53,915.53
OP05,Other Sealed,3,70.42,3.15,204.7
OP05,Booster Pack,2,49.97,32.62,67.32
OP06,Booster Box Case,1,3035.1,3035.1,3035.1
OP06,Booster Box,1,355.01,355.01,355.01
OP06,Display,1,259.03,259.03,259.03
OP06,Other Sealed,3,22.04,1.96,59.48
OP06,Booster Pack,2,15.74,10.29,21.2
OP07,Booster Box Case,1,3290.32,3290.32,3290.32
OP07,Booster Box,1,294.3,294.3,294.3
OP07,Display,1,192.32,192.32,192.32
OP07,Other Sealed,3,20.49,4.85,48.03
OP07,Booster Pack,2,19.55,7.25,31.86
OP08,Booster Box Case,1,2246.63,2246.63,2246.63
OP08,Booster Box,1,222.33,222.33,222.33
OP08,Display,1,189.08,189.08,189.08
OP08,Other Sealed,3,13.21,2.53,32.31
OP08,Booster Pack,2,11.47,6.46,16.49
OP09,Booster Box Case,1,6184.06,6184.06,6184.06
OP09,Booster Box,1,587.8,587.8,587.8
OP09,Display,1,449.7,449.7,449.7
OP09,Other Sealed,3,27.32,2.29,75.31
OP09,Booster Pack,2,21.15,15.19,27.11
OP10,Booster Box Case,1,2299.1,2299.1,2299.1
OP10,Booster Box,1,220.56,220.56,220.56
OP10,Booster Pack,2,9.14,6.59,11.69
OP10,Tin,1,0.08,0.08,0.08
OP10 RE,Tin,1,0.32,0.32,0.32
OP11,Booster Box Case,1,5066.11,5066.11,5066.11
OP11,Booster Box,1,408.13,408.13,408.13
OP11,Display,1,401.39,401.39,401.39
OP11,Other Sealed,3,23.95,1.53,67.27
OP11,Booster Pack,2,16.87,7.07,26.66
OP11,Tin,1,0.09,0.09,0.09
OP11 RE,Tin,1,2.36,2.36,2.36
OP12,Booster Box Case,1,2509.27,2509.27,2509.27
OP12,Booster Box,1,251.94,251.94,251.94
OP12,Display,1,153.33,153.33,153.33
OP12,Booster Pack,2,10.61,6.66,14.55
OP12,Other Sealed,3,10.38,1.61,26.84
OP12,Tin,2,0.07,0.07,0.07
OP12 RE,Tin,2,1.04,0.46,1.61
OP13,Booster Box Case,1,6381.03,6381.03,6381.03
OP13,Booster Box,1,585.54,585.54,585.54
OP13,Booster Pack,2,19.96,12.42,27.5
OP14,Booster Box Case,1,2531.33,2531.33,2531.33
OP14,Display,1,263.38,263.38,263.38
OP14,Booster Box,1,238.3,238.3,238.3
OP14,Other Sealed,3,14.03,3.1,35.45
OP14,Booster Pack,2,7.97,6.94,9.01
OP14,Tin,2,2.28,0.22,4.35
OP15-EB04,Booster Box Case,1,2295.0,2295.0,2295.0
OP15-EB04,Display,1,242.71,242.71,242.71
OP15-EB04,Booster Box,1,202.54,202.54,202.54
OP15-EB04,Other Sealed,3,9.89,1.34,24.48
OP15-EB04,Booster Pack,2,8.07,6.44,9.7
OP16,Booster Box Case,1,3949.98,3949.98,3949.98
OP16,Booster Box,1,276.73,276.73,276.73
OP16,Booster Pack,1,14.98,14.98,14.98
PRB-01,Booster Box Case,1,7230.3,7230.3,7230.3
PRB-01,Booster Box,1,840.68,840.68,840.68
PRB-01,Booster Pack,2,40.34,27.6,53.09
PRB-02,Booster Box Case,1,3500.48,3500.48,3500.48
PRB-02,Booster Box,1,332.29,332.29,332.29
PRB-02,Booster Pack,2,15.56,10.48,20.64
ST-01,Starter Deck,2,80.78,42.0,119.56
ST-01 PRE,Starter Deck,2,1746.59,1494.99,1998.18
ST-02,Starter Deck,1,21.16,21.16,21.16
ST-02 PRE,Starter Deck,1,250.17,250.17,250.17
ST-03,Starter Deck,2,110.84,21.74,199.95
ST-03 PRE,Starter Deck,1,246.83,246.83,246.83
ST-04,Starter Deck,1,23.19,23.19,23.19
ST-04 PRE,Starter Deck,1,227.54,227.54,227.54
ST-05,Starter Deck,1,21.54,21.54,21.54
ST-06,Starter Deck,1,21.69,21.69,21.69
ST-07,Starter Deck,1,48.99,48.99,48.99
ST-08,Starter Deck,2,50.77,16.55,84.98
ST-09,Starter Deck,2,47.52,17.05,77.99
ST-10,Ultra Deck,2,272.25,94.52,449.99
ST-11,Starter Deck,2,52.67,18.43,86.9
ST-12,Starter Deck,2,103.73,32.46,175.0
ST-13,Ultra Deck,2,180.31,81.13,279.5
ST-14,Starter Deck,2,66.4,20.3,112.5
ST-15,Starter Deck,3,176.59,56.06,263.71
ST-16,Starter Deck,2,136.25,50.5,221.99
ST-16,Tin,2,0.17,0.16,0.18
ST-17,Starter Deck,1,80.79,80.79,80.79
