group_id,set_name,set_code,published_on,total_products,sealed_products,singles_products,avg_sealed_market_price,max_sealed_market_price,total_sealed_market_value
3188,Romance Dawn,OP01,2022-12-02T00:00:00,163,6,160,3948.41,11828.99,19742.03
23213,Awakening of the New Era,OP05,2023-12-08T00:00:00,165,9,156,1354.31,8632.22,10834.45
17675,One Piece Promotion Cards,OP-PR,2022-09-30T00:00:00,1278,49,1236,170.18,2013.59,8168.57
23496,Premium Booster -The Best-,PRB-01,2024-11-08T00:00:00,329,4,356,2037.92,7230.3,8151.67
23024,Kingdoms of Intrigue,OP04,2023-09-22T00:00:00,166,8,158,922.12,6406.33,7376.95
23589,Emperors in the New World,OP09,2024-12-13T00:00:00,169,8,161,918.23,6184.06,7345.83
24303,Carrying On His Will,OP13,2025-11-07T00:00:00,181,4,177,1751.62,6381.03,7006.49
23333,Extra Booster: Memorial Collection,EB-01,2024-05-03T00:00:00,83,4,79,1732.91,6066.53,6931.65
24241,A Fist of Divine Speed,OP11,2025-06-06T00:00:00,166,9,157,664.59,5066.11,5981.3
23834,Extra Booster: Anime 25th Collection,EB-02,2025-05-09T00:00:00,108,1,107,4914.45,4914.45,4914.45
23304,One Piece Collection Sets,OP-CS,2023-11-03T00:00:00,11,8,3,931.32,1860.56,4656.6
22890,Pillars of Strength,OP03,2023-06-30T00:00:00,159,4,156,1126.83,3899.99,4507.31
24664,The Time of Battle,OP16,2026-06-12T00:00:00,4,4,0,1413.9,3949.98,4241.69
17698,Paramount War,OP02,2023-03-10T00:00:00,162,4,160,1029.64,3564.1,4118.55
23387,500 Years in the Future,OP07,2024-06-28T00:00:00,162,9,153,484.69,3290.32,3877.53
24305,Premium Booster -The Best- Vol. 2,PRB-02,2025-10-03T00:00:00,380,4,408,965.97,3500.48,3863.89
24545,Extra Booster: One Piece Heroines Edition,EB-03,2026-02-20T00:00:00,107,3,108,1287.3,3848.91,3861.91
23272,Wings of the Captain,OP06,2024-03-15T00:00:00,162,9,153,468.34,3035.1,3746.75
17659,Super Pre-Release Starter Deck 1: Straw Hat Crew,ST-01 PRE,2022-09-30T00:00:00,21,3,18,1746.59,1998.18,3493.17
24537,The Azure Sea's Seven,OP14,2026-01-16T00:00:00,219,10,209,309.56,2531.33,3095.63
24302,Legacy of the Master,OP12,2025-08-22T00:00:00,165,10,155,296.7,2509.27,2967.02
24637,Adventure on Kami's Island,OP15-EB04,2026-04-03T00:00:00,214,8,206,348.26,2295.0,2786.05
23462,Two Legends,OP08,2024-09-13T00:00:00,162,9,153,340.08,2246.63,2720.61
23766,Royal Blood,OP10,2025-03-21T00:00:00,156,5,152,507.6,2299.1,2538.02
23243,Ultra Deck: The Three Captains,ST-10,2023-11-10T00:00:00,21,3,18,272.25,449.99,544.51
23490,Starter Deck 15: RED Edward.Newgate,ST-15,2024-10-25T00:00:00,17,4,13,176.59,263.71,529.76
23991,Starter Deck EX: Gear 5,ST-21,2025-03-14T00:00:00,36,3,33,120.98,274.97,362.95
23349,Ultra Deck: The Three Brothers,ST-13,2024-04-19T00:00:00,38,3,35,180.31,279.5,360.63
24282,Starter Deck 23: RED Shanks,ST-23,2025-06-06T00:00:00,18,3,15,97.34,161.22,292.01
23491,Starter Deck 16: GREEN Uta,ST-16,2024-10-25T00:00:00,18,5,13,68.21,221.99,272.83
17658,Super Pre-Release Starter Deck 2: Worst Generation,ST-02 PRE,2022-09-30T00:00:00,19,2,17,250.17,250.17,250.17
17660,Super Pre-Release Starter Deck 3: The Seven Warlords of the Sea,ST-03 PRE,2022-09-30T00:00:00,19,2,17,246.83,246.83,246.83
24575,Starter Deck 29: Egghead,ST-29,2026-01-16T00:00:00,34,3,31,81.0,183.94,242.99
17661,Super Pre-Release Starter Deck 4: Animal Kingdom Pirates,ST-04 PRE,2022-09-30T00:00:00,19,2,17,227.54,227.54,227.54
3192,Starter Deck 3: The Seven Warlords of The Sea,ST-03,2022-12-02T00:00:00,19,2,17,110.84,199.95,221.69
23348,Starter Deck 12: Zoro and Sanji,ST-12,2024-03-15T00:00:00,20,3,17,103.73,175.0,207.46
24285,Starter Deck 26: PURPLE/BLACK Monkey.D.Luffy,ST-26,2025-06-06T00:00:00,17,2,15,87.17,131.37,174.34
3189,Starter Deck 1: Straw Hat Crew,ST-01,2022-12-02T00:00:00,21,3,18,80.78,119.56,161.56
24306,Learn Together Deck Set,LT-01,2025-10-03T00:00:00,53,1,52,155.26,155.26,155.26
23489,Starter Deck 14: 3D2Y,ST-14,2024-08-16T00:00:00,20,3,17,66.4,112.5,132.8
24286,Starter Deck 27: BLACK Marshall.D.Teach,ST-27,2025-06-06T00:00:00,17,2,15,65.0,107.29,130.0
