product_id,card_name,set_code,card_number,rarity,card_type,printing,market_price,low_price,snapshot_date
544532,Tony Tony.Chopper (Alternate Art) (Manga),EB-01,EB01-006,SR,Character,Foil,2427.43,3000.0,2026-05-04
544602,Mr.2.Bon.Kurei (Bentham) (Alternate Art),EB-01,EB01-061,SEC,Character,Foil,123.83,99.99,2026-05-04
544531,Tony Tony.Chopper (Alternate Art),EB-01,EB01-006,SR,Character,Foil,59.46,58.0,2026-05-04
544584,Laboon (048) (Alternate Art),EB-01,EB01-048,SR,Character,Foil,54.6,49.99,2026-05-04
544524,Kouzuki Oden (Alternate Art),EB-01,EB01-001,L,Leader,Foil,43.03,42.0,2026-05-04
544581,Brook (046) (Alternate Art),EB-01,EB01-046,SR,Character,Foil,33.42,25.99,2026-05-04
544539,Cavendish (Alternate Art),EB-01,EB01-012,SR,Character,Foil,33.35,30.0,2026-05-04
544595,Charlotte Flampe (Alternate Art),EB-01,EB01-056,R,Character,Foil,24.79,22.66,2026-05-04
544574,Kyros (Alternate Art),EB-01,EB01-040,L,Leader,Foil,24.43,23.35,2026-05-04
544530,Tony Tony.Chopper,EB-01,EB01-006,SR,Character,Foil,20.66,20.0,2026-05-04
544601,Mr.2.Bon.Kurei (Bentham),EB-01,EB01-061,SEC,Character,Foil,19.69,18.38,2026-05-04
544550,Hannyabal (Alternate Art),EB-01,EB01-021,L,Leader,Foil,18.55,14.25,2026-05-04
544590,Viola (Alternate Art),EB-01,EB01-052,SR,Character,Foil,15.73,10.35,2026-05-04
544541,Kouzuki Hiyori (Alternate Art),EB-01,EB01-013,R,Character,Foil,15.64,13.54,2026-05-04
544527,Kid & Killer (Alternate Art),EB-01,EB01-003,R,Character,Foil,15.54,13.0,2026-05-04
544552,Inazuma (Alternate Art),EB-01,EB01-022,SR,Character,Foil,14.21,10.78,2026-05-04
544567,Ms. Wednesday (Alternate Art),EB-01,EB01-034,SR,Character,Foil,12.4,10.5,2026-05-04
544597,Shirahoshi (Alternate Art),EB-01,EB01-057,SR,Character,Foil,8.88,8.08,2026-05-04
544599,Kingdom Come,EB-01,EB01-059,R,Event,Foil,7.26,6.54,2026-05-04
544589,Viola,EB-01,EB01-052,SR,Character,Foil,6.36,5.2,2026-05-04
544586,T-Bone (Alternate Art),EB-01,EB01-049,R,Character,Foil,5.64,3.79,2026-05-04
544553,Edward Weevil,EB-01,EB01-023,R,Character,Foil,5.3,4.0,2026-05-04
544594,Charlotte Flampe,EB-01,EB01-056,R,Character,Foil,5.25,1.99,2026-05-04
629167,Monkey.D.Luffy (061) (Manga),EB-02,EB02-061,SEC,Character,Foil,2417.0,6800.0,2026-05-04
629171,Monkey.D.Luffy (SP),EB-02,OP05-060,L,Leader,Foil,1241.0,6500.0,2026-05-04
629185,Tony Tony.Chopper (SP),EB-02,OP08-001,L,Leader,Foil,1013.58,6767.67,2026-05-04
629101,Monkey.D.Luffy (010) (Alternate Art),EB-02,EB02-010,L,Leader,Foil,803.6,949.0,2026-05-04
629176,Yamato (SP),EB-02,OP06-022,L,Leader,Foil,721.24,1125.0,2026-05-04
629181,Boa Hancock (SP),EB-02,OP07-038,L,Leader,Foil,717.6,6969.69,2026-05-04
629180,Jewelry Bonney (SP),EB-02,OP07-019,L,Leader,Foil,586.46,1749.99,2026-05-04
629189,Charlotte Pudding (SP),EB-02,OP08-058,L,Leader,Foil,546.5,2000.0,2026-05-04
629177,Vinsmoke Reiju (SP),EB-02,OP06-042,L,Leader,Foil,546.3,20000.0,2026-05-04
629172,Enel (SP),EB-02,OP05-098,L,Leader,Foil,493.65,600.0,2026-05-04
629175,Perona (SP),EB-02,OP06-021,L,Leader,Foil,456.87,875.0,2026-05-04
629188,King (SP),EB-02,OP08-057,L,Leader,Foil,454.58,1000.0,2026-05-04
594069,Extra Booster: Anime 25th Collection Box,EB-02,,,,Normal,446.21,440.0,2026-05-04
629187,Carrot (SP),EB-02,OP08-021,L,Leader,Foil,402.35,752.53,2026-05-04
629186,Marco (SP),EB-02,OP08-002,L,Leader,Foil,388.27,1699.5,2026-05-04
629183,Rob Lucci (SP),EB-02,OP07-079,L,Leader,Foil,353.33,1498.67,2026-05-04
629178,Gecko Moria (SP),EB-02,OP06-080,L,Leader,Foil,343.13,589.99,2026-05-04
629179,Monkey.D.Dragon (SP),EB-02,OP07-001,L,Leader,Foil,342.53,999.95,2026-05-04
629169,Belo Betty (SP),EB-02,OP05-002,L,Leader,Foil,338.36,700.0,2026-05-04
629168,Sabo (SP),EB-02,OP05-001,L,Leader,Foil,334.94,849.99,2026-05-04
629086,Kouzuki Oden (SP),EB-02,EB01-001,L,Leader,Foil,331.83,749.99,2026-05-04
629170,Donquixote Rosinante (SP),EB-02,OP05-022,L,Leader,Foil,306.87,599.99,2026-05-04
629190,Kalgara (SP),EB-02,OP08-098,L,Leader,Foil,193.71,450.95,2026-05-04
629182,Foxy (SP),EB-02,OP07-059,L,Leader,Foil,148.52,310.0,2026-05-04
629174,Hody Jones (SP),EB-02,OP06-020,L,Leader,Foil,143.31,337.49,2026-05-04
629111,Nami (Alternate Art),EB-02,EB02-017,R,Character,Foil,115.64,105.0,2026-05-04
629132,Sanji & Pudding (Alternate Art),EB-02,EB02-035,SR,Character,Foil,64.48,61.99,2026-05-04
629166,Monkey.D.Luffy (061) (Alternate Art),EB-02,EB02-061,SEC,Character,Foil,60.57,61.95,2026-05-04
629154,Enel (Alternate Art),EB-02,EB02-052,SR,Character,Foil,55.44,47.0,2026-05-04
629096,Yamato (Alternate Art),EB-02,EB02-006,SR,Character,Foil,35.91,32.99,2026-05-04
629134,Nico Robin (Alternate Art),EB-02,EB02-036,R,Character,Foil,35.2,34.68,2026-05-04
629117,Usopp (Alternate Art),EB-02,EB02-022,R,Character,Foil,30.13,24.55,2026-05-04
629122,Nefeltari Vivi (Alternate Art),EB-02,EB02-026,SR,Character,Foil,25.95,23.68,2026-05-04
629160,Vegapunk (Alternate Art),EB-02,EB02-056,SR,Character,Foil,25.62,22.38,2026-05-04
629153,Enel,EB-02,EB02-052,SR,Character,Foil,24.55,23.0,2026-05-04
629092,Tony Tony.Chopper (Alternate Art),EB-02,EB02-003,R,Character,Foil,22.5,20.88,2026-05-04
629145,Trafalgar Law (Alternate Art),EB-02,EB02-045,SR,Character,Foil,17.49,14.25,2026-05-04
629131,Sanji & Pudding,EB-02,EB02-035,SR,Character,Foil,17.46,15.94,2026-05-04
594068,Extra Booster: Anime 25th Collection Pack,EB-02,,,,Normal,16.06,14.77,2026-05-04
629149,Brook (Alternate Art),EB-02,EB02-048,R,Character,Foil,14.87,12.67,2026-05-04
629157,Sanji (Alternate Art),EB-02,EB02-054,R,Character,Foil,12.46,12.46,2026-05-04
629143,Sengoku (Alternate Art),EB-02,EB02-044,SR,Character,Foil,11.99,10.99,2026-05-04
629108,Jewelry Bonney (Alternate Art),EB-02,EB02-015,SR,Character,Foil,11.78,10.97,2026-05-04
629103,Arlong (Alternate Art),EB-02,EB02-011,SR,Character,Foil,9.7,7.92,2026-05-04
629110,Nami,EB-02,EB02-017,R,Character,Foil,9.25,8.46,2026-05-04
629165,Monkey.D.Luffy (061),EB-02,EB02-061,SEC,Character,Foil,8.82,7.0,2026-05-04
629095,Yamato,EB-02,EB02-006,SR,Character,Foil,7.87,6.68,2026-05-04
629121,Nefeltari Vivi,EB-02,EB02-026,SR,Character,Foil,6.09,5.33,2026-05-04
672817,Uta (061) (Manga),EB-03,EB03-061,SEC,Character,Foil,1275.95,980.0,2026-05-04
672827,Nami (053) (SP),EB-03,EB03-053,SR,Character,Foil,1138.12,999.99,2026-05-04
672828,Nico Robin (055) (SP),EB-03,EB03-055,SR,Character,Foil,970.57,999.98,2026-05-04
672823,Boa Hancock (SP),EB-03,EB03-026,SR,Character,Foil,747.33,999.99,2026-05-04
672822,Nefeltari Vivi (024) (SP),EB-03,EB03-024,SR,Character,Foil,350.15,380.92,2026-05-04
672826,Perona (045) (SP),EB-03,EB03-045,SR,Character,Foil,302.5,349.68,2026-05-04
672820,Uta (003) (SP),EB-03,EB03-003,SR,Character,Foil,298.66,295.0,2026-05-04
666891,Extra Booster: One Piece Heroines Edition Box,EB-03,,,,Normal,295.03,315.0,2026-05-04
672824,Vinsmoke Reiju (SP),EB-03,EB03-031,SR,Character,Foil,201.21,299.99,2026-05-04
672825,Koala (SP),EB-03,EB03-042,SR,Character,Foil,147.94,221.0,2026-05-04
672821,Tashigi (SP),EB-03,EB03-018,SR,Character,Foil,118.67,120.0,2026-05-04
672805,Nami (053) (Alternate Art),EB-03,EB03-053,SR,Character,Foil,102.91,106.37,2026-05-04
672808,Nico Robin (055) (Alternate Art),EB-03,EB03-055,SR,Character,Foil,77.08,72.99,2026-05-04
677559,DON!! Card (Nami) (Gold),EB-03,,DON!!,DON!!,Foil,74.2,65.0,2026-05-04
677569,DON!! Card (Nico Robin) (Gold),EB-03,,DON!!,DON!!,Foil,63.86,109.99,2026-05-04
677571,DON!! Card (Boa Hancock) (Gold),EB-03,,DON!!,DON!!,Foil,52.1,51.99,2026-05-04
672772,Boa Hancock (Alternate Art),EB-03,EB03-026,SR,Character,Foil,39.83,28.0,2026-05-04
677567,DON!! Card (Uta) (Gold),EB-03,,DON!!,DON!!,Foil,36.89,34.94,2026-05-04
672804,Nami (053),EB-03,EB03-053,SR,Character,Foil,31.92,27.55,2026-05-04
672819,Trafalgar Law (Alternate Art),EB-03,EB03-062,SEC,Character,Foil,29.43,26.52,2026-05-04
672768,Nefeltari Vivi (024) (Alternate Art),EB-03,EB03-024,SR,Character,Foil,29.0,25.0,2026-05-04
672796,Perona (045) (Alternate Art),EB-03,EB03-045,SR,Character,Foil,19.75,15.0,2026-05-04
672807,Nico Robin (055),EB-03,EB03-055,SR,Character,Foil,17.75,15.72,2026-05-04
672816,Uta (061) (Alternate Art),EB-03,EB03-061,SEC,Character,Foil,16.88,14.68,2026-05-04
672811,Yamato (Alternate Art),EB-03,EB03-057,R,Character,Foil,13.96,12.0,2026-05-04
672818,Trafalgar Law,EB-03,EB03-062,SEC,Character,Foil,13.34,9.99,2026-05-04
672790,Kujyaku (Alternate Art),EB-03,EB03-041,R,Character,Foil,12.44,12.0,2026-05-04
672782,Charlotte Linlin (Alternate Art),EB-03,EB03-034,R,Character,Foil,11.92,10.0,2026-05-04
672749,Hibari (Alternate Art),EB-03,EB03-008,R,Character,Foil,11.65,10.67,2026-05-04
666727,Extra Booster: One Piece Heroines Edition Pack,EB-03,,,,Normal,11.61,9.0,2026-05-04
672778,Vinsmoke Reiju (Alternate Art),EB-03,EB03-031,SR,Character,Foil,10.85,8.94,2026-05-04
672740,Nefeltari Vivi (001) (Alternate Art),EB-03,EB03-001,L,Leader,Foil,9.96,8.66,2026-05-04
672743,Uta (003) (Alternate Art),EB-03,EB03-003,SR,Character,Foil,9.87,8.02,2026-05-04
675745,Nefeltari Vivi - EB02-026,EB-03,EB02-026,SR,Character,Foil,9.58,7.0,2026-05-04
672792,Koala (Alternate Art),EB-03,EB03-042,SR,Character,Foil,9.24,7.0,2026-05-04
675748,O-Nami - ST18-002 (Dash Pack),EB-03,ST18-002,C,Character,Foil,7.19,5.06,2026-05-04
672755,Carrot (Alternate Art),EB-03,EB03-013,R,Character,Foil,6.83,6.0,2026-05-04
672761,Tashigi (Alternate Art),EB-03,EB03-018,SR,Character,Foil,6.35,5.79,2026-05-04
672815,Uta (061),EB-03,EB03-061,SEC,Character,Foil,6.03,3.0,2026-05-04
675746,Koala - OP05-006,EB-03,OP05-006,SR,Character,Foil,5.95,4.5,2026-05-04
675744,One Piece Heroines Campaign - Dash Pack,EB-03,,,,Normal,5.59,4.4,2026-05-04
628478,Learn Together Deck Set,LT-01,,,,Normal,43.92,36.0,2026-05-04
656655,Monkey.D.Luffy - ST21-001 (Luffy Deck),LT-01,ST21-001,L,Leader,Foil,10.25,4.46,2026-05-04
656678,Nami - OP11-041 (Nami Deck),LT-01,OP11-041,L,Leader,Foil,7.71,6.59,2026-05-04
656631,Roronoa Zoro - OP12-020 (Zoro Deck),LT-01,OP12-020,L,Leader,Foil,5.98,5.0,2026-05-04
656695,Nami - OP11-054,LT-01,OP11-054,SR,Character,Normal,5.21,2.47,2026-05-04
516299,Devil Fruits Collection Vol. 1,OP-CS,,,,Normal,134.33,125.0,2026-05-04
593446,Devil Fruits Collection Vol. 2,OP-CS,,,,Normal,85.98,68.66,2026-05-04
649748,Devil Fruits Collection Vol. 3,OP-CS,,,,Normal,47.67,45.0,2026-05-04
602806,Monkey.D.Luffy (003),OP-DD,OP01-003,L,Leader,Normal,9.85,3.26,2026-05-04
602789,Roronoa Zoro,OP-DD,OP01-001,L,Leader,Normal,5.26,3.08,2026-05-04
455816,Roronoa Zoro - ST01-013 (Treasure Cup),OP-PR,ST01-013,PR,Character,Foil,3000.0,3000.0,2026-05-04
630009,Portgas.D.Ace (Serial Numbered),OP-PR,OP07-119,SEC,Character,Foil,2949.5,9950.0,2026-05-04
514047,Shanks (Championship 2023) [Serial Number],OP-PR,OP01-120,PR,Character,Foil,2623.43,100000.0,2026-05-04
610802,Nami (2025 New Year Event Winner),OP-PR,ST01-007,C,Character,Foil,2249.99,5999.99,2026-05-04
619217,Roronoa Zoro (Championship 25-26 Regionals Season 1),OP-PR,OP09-076,R,Character,Foil,2199.42,7500.0,2026-05-04
583773,Nefeltari Vivi (October Championship 2024 Store Regionals),OP-PR,OP05-086,R,Character,Foil,2024.99,3999.99,2026-05-04
590988,Cavendish (Treasure Cup 2024),OP-PR,EB01-012,SR,Character,Foil,1850.0,1499.99,2026-05-04
509466,Kuzan (Championship 2023),OP-PR,OP02-096,PR,Character,Foil,1800.0,1499.0,2026-05-04
509467,Sakazuki (Championship 2023),OP-PR,OP02-099,PR,Character,Foil,1800.0,4000.0,2026-05-04
661704,Monkey.D.Luffy - ST21-014 (3rd Anniversary Treasure Campaign Pack),OP-PR,ST21-014,SR,Character,Foil,1698.63,1150.0,2026-05-04
657114,Tashigi (Treasure Cup 2025),OP-PR,OP12-031,R,Character,Foil,1576.05,1863.98,2026-05-04
646743,Shanks (Championship 25-26 Offline Regionals Season 2),OP-PR,OP09-004,SR,Character,Foil,1480.66,4000.0,2026-05-04
683981,Crocodile - OP14-120 (CS26-27 Regionals Season 1),OP-PR,OP14-120,PR,Character,Foil,1458.92,1249.99,2026-05-04
668672,When You're at Sea You Fight against Pirates!! (2025 Pirates League Finals Textured Foil),OP-PR,OP05-076,R,Event,Foil,1392.24,2999.99,2026-05-04
619216,Nami (Championship 25-26 Regionals Season 1),OP-PR,OP09-050,R,Character,Foil,1250.59,1800.0,2026-05-04
649664,O-Nami (CS 25-26 Event Pack Finalist Ver.),OP-PR,OP06-101,R,Character,Foil,1224.85,3669.69,2026-05-04
641620,Monkey.D.Luffy (010) (Dodgers x ONE PIECE),OP-PR,EB02-010,L,Leader,Foil,1176.07,1199.95,2026-05-04
503023,Monkey.D.Luffy (Store Championship Trophy Card),OP-PR,P-001,PR,Character,Foil,1134.99,1000.0,2026-05-04
590986,Tony Tony.Chopper (Treasure Cup 2024),OP-PR,EB01-006,SR,Character,Foil,1056.73,2299.99,2026-05-04
657117,Monkey.D.Luffy (Treasure Cup 2025),OP-PR,OP12-015,SR,Character,Foil,933.35,2000.0,2026-05-04
525689,"Eustass""Captain""Kid (CS 2023 Top Players Pack)",OP-PR,ST10-013,SR,Character,Foil,899.98,899.99,2026-05-04
561172,Charlotte Linlin (Championship 2024),OP-PR,OP03-114,SR,Character,Foil,898.5,4999.99,2026-05-04
675637,Nami (Whole Cake Island Arc),OP-PR,OP11-041,L,Leader,Foil,885.4,780.0,2026-05-04
561185,Charlotte Linlin (Treasure Cup),OP-PR,ST07-010,SR,Character,Foil,862.5,1500.0,2026-05-04
514046,Marco (Championship 2023),OP-PR,OP03-013,PR,Character,Foil,817.99,999.99,2026-05-04
525304,Monkey.D.Luffy (CS 2023 Event Pack),OP-PR,P-033,PR,Character,Foil,800.84,1099.49,2026-05-04
629758,Laboon (Treasure Cup 2025),OP-PR,EB01-048,SR,Character,Foil,734.35,1199.99,2026-05-04
610118,One Piece Card Game Illustration Box EX,OP-PR,,,,Normal,687.72,799.99,2026-05-04
622732,Perona (Championship 2024 Finalist Card Set Vol. 2),OP-PR,OP01-077,UC,Character,Foil,650.0,749.99,2026-05-04
561183,Charlotte Katakuri (Championship 2024),OP-PR,OP03-123,SEC,Character,Foil,639.12,1750.0,2026-05-04
629757,Charlotte Pudding (Treasure Cup 2025),OP-PR,OP08-067,R,Character,Foil,600.0,1799.94,2026-05-04
686281,Monkey.D.Garp (Treasure Cup March 2026),OP-PR,OP13-016,R,Character,Foil,589.33,749.99,2026-05-04
615308,San-Gorou (Treasure Cup 2025),OP-PR,ST18-003,C,Character,Foil,571.28,1139.0,2026-05-04
515354,Queen (Treasure Cup),OP-PR,ST04-005,C,Character,Foil,544.99,700.24,2026-05-04
641244,When You're at Sea You Fight against Pirates!! (2025 Pirates League Store Qualifier Winner),OP-PR,OP05-076,R,Event,Foil,527.61,999.99,2026-05-04
520773,Monkey.D.Luffy (041) (1st Anniversary Tournament),OP-PR,P-041,PR,Character,Foil,489.2,495.0,2026-05-04
557283,Monkey.D.Luffy (English Version 1st Anniversary Set),OP-PR,ST10-006,SR,Character,Foil,477.76,449.99,2026-05-04
624989,Monkey.D.Luffy (BVB x One Piece Campaign),OP-PR,ST13-003,L,Leader,Foil,453.78,579.05,2026-05-04
509465,Borsalino (Championship 2023),OP-PR,OP02-114,PR,Character,Foil,449.42,999.0,2026-05-04
579371,Sanji (Championship 2024 Finalist Card Set),OP-PR,OP07-064,SR,Character,Foil,449.4,700.0,2026-05-04
622738,Sanji (Championship 2024 Finalist Card Set Vol. 2),OP-PR,OP07-064,SR,Character,Foil,449.35,749.99,2026-05-04
586014,Monkey.D.Luffy (091) (Online Regional 2024 Vol. 3) [Finalist],OP-PR,OP07-091,R,Character,Foil,445.71,2000.0,2026-05-04
622719,Perona (Championship 2024 Top Player Pack Vol. 2),OP-PR,OP01-077,UC,Character,Foil,445.0,1200.0,2026-05-04
620095,Monkey.D.Luffy (One Piece Day Dallas 2025),OP-PR,ST10-006,SR,Character,Foil,438.66,449.99,2026-05-04
583762,Monkey.D.Luffy (091) (Offline Regional 2024 Vol. 3) [Finalist],OP-PR,OP07-091,R,Character,Foil,438.53,2000.0,2026-05-04
